"molecule_chembl_id","canonical_smiles","standard_type","standard_value","standard_units","kinase_name"
"CHEMBL113081","c1ccc(-c2nc3c(-c4nc5ccccc5o4)cccc3o2)cc1","IC50","100000","nM","DNA topoisomerase II alpha"
"CHEMBL324340","Cc1ccc2oc(-c3cccc(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1","IC50","2500","nM","Heparanase"
"CHEMBL324340","Cc1ccc2oc(-c3cccc(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1","IC50","50000","nM","NON-PROTEIN TARGET"
"CHEMBL109600","COc1ccccc1-c1ccc2oc(-c3ccc(OC)c(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1","IC50","9000","nM","Heparanase"
"CHEMBL109600","COc1ccccc1-c1ccc2oc(-c3ccc(OC)c(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1","IC50",\N,"nM","NON-PROTEIN TARGET"
"CHEMBL357278","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)CC3)ccc2s1","IC50","4000","nM","Palmitoyl-CoA oxidase"
"CHEMBL357119","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)NCCc4ccccc4)CC3)ccc2s1","IC50","17000","nM","Palmitoyl-CoA oxidase"
"CHEMBL152968","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1","IC50","180","nM","Palmitoyl-CoA oxidase"
"CHEMBL152968","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1","IC50","6000","nM","Cytochrome P450 1A2"
"CHEMBL152968","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1","IC50","37000","nM","Cytochrome P450 3A4"
"CHEMBL152968","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1","IC50","24000","nM","Cytochrome P450 2C9"
"CHEMBL429345","Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2","IC50","0.008999999613","ug.mL-1","Enterococcus faecium"
