UMAP1,UMAP2,pIC50,kinase_name,canonical_smiles
<<<<<<< HEAD
=======
<<<<<<< HEAD
>>>>>>> 159c490 (first windows commit)
2.9193344,6.3105555,4.0,DNA topoisomerase II alpha,c1ccc(-c2nc3c(-c4nc5ccccc5o4)cccc3o2)cc1
-4.6811366,21.692429,5.6020599913279625,Heparanase,Cc1ccc2oc(-c3cccc(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1
-4.699028,21.702621,4.301029995663981,NON-PROTEIN TARGET,Cc1ccc2oc(-c3cccc(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1
-4.6851397,21.67301,5.045757490560675,Heparanase,COc1ccccc1-c1ccc2oc(-c3ccc(OC)c(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1
5.67332,23.215405,5.3979400086720375,Palmitoyl-CoA oxidase,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)CC3)ccc2s1
5.631393,23.17339,4.769551078621726,Palmitoyl-CoA oxidase,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)NCCc4ccccc4)CC3)ccc2s1
5.7133565,23.255144,6.7447274948966935,Palmitoyl-CoA oxidase,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1
5.7004337,23.242361,5.221848749616356,Cytochrome P450 1A2,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1
5.6865463,23.228476,4.431798275933005,Cytochrome P450 3A4,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1
5.68433,23.226227,4.619788758288394,Cytochrome P450 2C9,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1
3.0799685,6.318559,4.7089371569447165,Enterococcus faecium,Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
3.128852,6.2594776,3.362149645574409,Enterococcus faecium,Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
3.099601,6.2528086,3.9149916072943354,Lacticaseibacillus casei,Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
3.1144931,6.2607026,3.856999653096503,Lacticaseibacillus casei,Nc1nc(O)c2c(n1)NCC(CCOc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2
1.7007232,5.083783,2.036964602748726,Cavia porcellus,Cn1cnc2c1C(=O)N1CCN=C1N2Cc1ccc(Cl)cc1
2.2425241,5.845407,7.531652675222888,Beta-1 adrenergic receptor,CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21
2.275124,5.8125124,7.5114492942573685,Beta-2 adrenergic receptor,CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21
0.58019245,8.245735,5.800000870789331,Malate dehydrogenase mitochondrial,O=C(O)c1cnc2cc(OCCOc3ccc4ccccc4c3)ccc2c1O
1.2234459,5.981848,6.920818753952375,GABA-A receptor; anion channel,CCOC(=O)c1cn2c(n1)sc1ccccc12
1.290772,6.198614,5.732828271596986,GABA-A receptor; anion channel,CCSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCC2
1.2572378,6.2177253,7.468521082957745,GABA-A receptor; anion channel,CCCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1CC
1.2770864,6.237005,6.97061622231479,GABA-A receptor; anion channel,CCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1CC
3.4658267,5.6124625,7.657577319177793,Opioid receptors; mu & kappa,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](NC(=O)CNC(=O)CCC(=O)NCC(=O)N[C@H]2CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5
2.508847,4.7503586,4.0,Acetylcholinesterase,CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O.[I-]
2.4751217,4.706487,3.769551078621726,Acetylcholinesterase,CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O.[I-]
1.3188952,-4.9369564,5.096910013008056,Cavia porcellus,CC(CCCc1cccnc1)NC(=O)c1ccc2nc3ccc(C(C)C)cc3c(=O)n2c1.Cl.Cl
1.3161389,-4.93425,6.0,Thromboxane-A synthase,CC(CCCc1cccnc1)NC(=O)c1ccc2nc3ccc(C(C)C)cc3c(=O)n2c1.Cl.Cl
1.3852314,10.394769,6.060480747381382,L1210,Cl.NCCn1nc2c3c(c(NCCCNCCO)ccc31)C(=O)c1c(O)ccc(O)c1-2
1.3954414,10.384659,6.031517051446065,L1210,CN(C)CCNCCNc1ccc2c3c(nn2CCN)-c2c(O)ccc(O)c2C(=O)c13.Cl
1.7605075,4.30028,7.721246399047171,Dopamine D2 receptor,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(C)c1O
1.2965173,6.1900535,8.0,GABA-A receptor; anion channel,COc1cc2nc(C(=O)c3ccccc3)cn2c2ccc(C(C)C)cc12
1.3564326,6.252968,6.795880017344075,GABA-A receptor; anion channel,CC(C)OC(=O)c1cn2c(n1)sc1ccccc12
0.6149627,4.646479,5.0,Human immunodeficiency virus type 1 reverse transcriptase,S=C(NCN1CCOCC1)Nc1ccc(Br)cn1
0.6343283,4.6399336,5.42021640338319,ADMET,S=C(NCN1CCOCC1)Nc1ccc(Br)cn1
0.6131763,4.646885,6.0,ADMET,S=C(NCN1CCOCC1)Nc1ccc(Br)cn1
3.2929432,4.6424627,8.397940008672037,ADMET,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
3.345383,4.6345186,6.823908740944319,ADMET,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
3.3427908,4.669527,8.221848749616356,ADMET,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
-6.358575,10.130525,5.008773924307505,Dopamine D2 receptor,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1
-6.3474703,10.122111,5.251811972993799,Dopamine D3 receptor,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1
-6.3628793,10.137563,7.698970004336019,Dopamine D4 receptor,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1
-6.3632417,10.137838,5.0,Serotonin 1a (5-HT1a) receptor,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1
2.637284,4.191288,4.0,Human herpes virus 5 capsid protein P40,CC(=O)O[C@@H]1CC(=O)N1C(=O)NC(C)C
